GSE,CUI,SAB,CODE,STR
GSE15214,C0015393,ICD9CM,743.9,Eye anomaly NOS
GSE15214,C0015393,ICD9CM,743.9,Unspecified anomaly of eye
GSE15214,C0039082,MSH,D013577,Syndrome
GSE15215,C0027651,ICD9CM,140-239.99,NEOPLASMS
GSE15221,C0015967,ICD9CM,780.60,Fever NOS
GSE15221,C0015967,ICD9CM,780.60,Fever, unspecified
GSE15221,C0024530,ICD9CM,084,Malaria
GSE15221,C0024530,ICD9CM,084.6,Malaria NOS
GSE15221,C0024530,ICD9CM,084.6,Malaria, unspecified
GSE15221,C0024530,MSH,D008288,Malaria
GSE15221,C0024535,ICD9CM,084.0,Falciparum malaria
GSE15221,C0024535,ICD9CM,084.0,Falciparum malaria [malignant tertian]
GSE15221,C0024535,MSH,D016778,Malaria, Falciparum
GSE15221,C0243026,ICD9CM,995.91,Sepsis
GSE15221,C0243026,MSH,D018805,Sepsis
GSE15222,C0002395,ICD9CM,331.0,Alzheimer's disease
GSE15222,C0002395,MSH,D000544,Alzheimer Disease
GSE15228,C0021361,ICD9CM,628,Infertility, female
GSE15228,C0021361,ICD9CM,628.9,Female infertility NOS
GSE15228,C0021361,ICD9CM,628.9,Infertility, female, of unspecified origin
GSE15228,C0029927,MSH,D010048,Ovarian Cysts
GSE15229,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE15231,C0035801,MSH,D012376,Rodent Diseases
GSE15231,C0038395,MSH,D013290,Streptococcal Infections
GSE15236,C0032080,MSH,D010935,Plant Diseases
GSE15250,C0006413,ICD9CM,200.2,Burkitt's tumor or lymphoma
GSE15250,C0023434,ICD9CM,204.1,Lymphoid leukemia, chronic
GSE15255,C0005961,ICD9CM,41.00,Bone marrow transplant, not otherwise specified
GSE15255,C0005961,ICD9CM,41.00,Bone marrow trnsplnt NOS
GSE15255,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15258,C0003873,ICD9CM,714.0,Rheumatoid arthritis
GSE15258,C0003873,MSH,D001172,Arthritis, Rheumatoid
GSE15258,C0023467,ICD9CM,205.0,Myeloid leukemia, acute
GSE15264,C0019829,ICD9CM,201,Hodgkin's disease
GSE15264,C0019829,ICD9CM,201.0,Hodgkin's paragranuloma
GSE15264,C0019829,ICD9CM,201.1,Hodgkin's granuloma
GSE15264,C0019829,ICD9CM,201.2,Hodgkin's sarcoma
GSE15264,C0019829,ICD9CM,201.9,Hodgkin's disease, unspecified type
